date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  REG6_contr  lpyear
200611 -8.4821428571391000E-04  9.3750000000037000E-04 -1.3392857142885000E-04  1.0002232142857000E+00 -4.9107142857141000E-04 -1.0015625000000000E+00  1.7763568394002000E-15
200612 -1.3776339285714000E+00 -3.7477678571428000E-01 -3.7477678571428000E-01 -3.7549107142857000E-01  6.2736607142857000E-01  6.2343750000000000E-01  8.8817841970012000E-16
200701 -2.4933035714285000E-01  7.5066964285714000E-01  7.4995535714285000E-01 -2.5111607142857000E-01 -2.5004464285714000E-01 -2.5075892857142000E-01  0.0000000000000000E+00
200702 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
200703 -2.1665178571428000E-01 -3.5772321428571000E-01 -3.5558035714285000E-01  6.4227678571428000E-01  6.4299107142857000E-01  6.4156250000000000E-01  8.8817841970012000E-16
200704  1.4910714285714000E-01 -4.2732142857142000E-01 -4.2767857142857000E-01 -4.2303571428571000E-01 -4.2696428571428000E-01 -4.2660714285714000E-01  1.5543122344752000E-15
200705 -7.7877232142857000E-01 -1.2060937500000000E+00  1.0467633928571000E+00  4.4462053571428000E-01 -2.0716517857142000E-01 -2.0966517857142000E-01  1.1102230246251000E-15
200706  7.8214285714286000E-02 -2.0821428571428000E-01 -1.9249999999999000E-01 -1.7964285714285000E-01  7.9178571428571000E-01  7.9035714285714000E-01  1.7763568394002000E-15
200707  6.2540178571428000E-01  6.2468750000000000E-01 -3.7674107142857000E-01 -3.7388392857142000E-01 -3.7674107142857000E-01 -1.3720982142857000E+00  8.8817841970012000E-16
200708 -2.4955357142857000E-01 -2.4955357142857000E-01 -2.4919642857142000E-01  7.5044642857142000E-01  7.4901785714285000E-01 -2.4991071428571000E-01  7.7715611723761000E-16
200709 -3.7486607142857000E-01 -3.7558035714285000E-01 -3.7450892857142000E-01 -3.7450892857142000E-01 -3.7415178571428000E-01  6.2549107142857000E-01  1.7763568394002000E-15
200710  6.2441964285714000E-01  6.2513392857142000E-01  6.2370535714285000E-01 -3.7593750000000000E-01 -3.7486607142857000E-01 -3.7558035714285000E-01  8.8817841970012000E-16
200711  1.2415178571428000E-01  1.2593750000000000E-01  1.2486607142857000E-01  1.2522321428571000E-01  1.1245089285714000E+00  1.2343750000000000E-01  1.9428902930940000E-15
200712  6.2236607142857000E-01 -1.3747767857142000E+00 -3.7477678571428000E-01 -3.7549107142857000E-01 -3.7263392857142000E-01  6.2343750000000000E-01  9.9920072216264000E-16
200801 -2.4933035714285000E-01 -2.4933035714285000E-01  7.4995535714285000E-01  7.4888392857142000E-01 -2.5004464285714000E-01 -2.5075892857142000E-01 -1.1102230246251000E-16
200802 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02  9.6959821428571000E-01 -3.0401785714285000E-02  7.5785714285714000E-01
200803 -4.6665178571428000E-01 -6.0772321428571000E-01 -6.0558035714285000E-01 -6.0772321428571000E-01 -6.0700892857142000E-01  3.9156250000000000E-01  8.8817841970012000E-16
200804  3.9910714285714000E-01  8.2267857142857000E-01  8.2232142857143000E-01 -1.7303571428571000E-01 -1.7696428571428000E-01 -1.7660714285714000E-01  1.7763568394002000E-15
200805 -6.5377232142857000E-01 -8.1093749999999000E-02  1.7176339285714000E-01 -4.3037946428571000E-01  9.1783482142857000E-01  9.1533482142857000E-01  6.6613381477509000E-16
200806  9.5321428571428000E-01 -3.3321428571428000E-01 -3.1750000000000000E-01 -3.0464285714285000E-01 -3.3321428571428000E-01 -3.3464285714285000E-01  1.9984014443252000E-15
200807 -1.2495982142857000E+00  7.4968750000000000E-01  7.4825892857142000E-01  7.5111607142857000E-01 -2.5174107142857000E-01 -2.4709821428571000E-01  7.7715611723761000E-16
200808 -3.7455357142857000E-01 -3.7455357142857000E-01 -3.7419642857142000E-01 -3.7455357142857000E-01 -3.7598214285714000E-01  6.2508928571428000E-01  7.7715611723761000E-16
200809  7.5013392857143000E-01  7.4941964285714000E-01 -2.4950892857142000E-01 -2.4950892857142000E-01 -2.4915178571428000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200810 -3.7558035714285000E-01 -3.7486607142857000E-01  6.2370535714285000E-01  6.2406250000000000E-01  6.2513392857142000E-01 -3.7558035714285000E-01  8.8817841970012000E-16
200811 -1.2584821428571000E-01 -1.1240625000000000E+00 -1.2513392857142000E-01 -1.2477678571428000E-01 -1.2549107142857000E-01 -1.2656250000000000E-01  2.1094237467878000E-15
200812  7.4736607142857000E-01  7.5022321428571000E-01  7.5022321428571000E-01 -1.2504910714285000E+00 -2.4763392857142000E-01 -2.5156250000000000E-01  8.8817841970012000E-16
