date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  lpyear
201704 -9.1460317460317000E-01 -4.9103174603174000E-01 -4.9138888888888000E-01 -4.8674603174603000E-01 -4.9067460317460000E-01  1.6098233857064000E-15
201705 -6.4436507936508000E-01  9.2831349206349000E-01  1.1811706349206000E+00 -4.2097222222222000E-01 -7.2757936507936000E-02  8.8817841970012000E-16
201706 -1.0096031746031000E+00 -2.9603174603174000E-01 -2.8031746031746000E-01  7.3253968253968000E-01  7.0396825396825000E-01  1.9984014443252000E-15
201707  5.5563492063492000E-01 -4.4507936507936000E-01 -4.4650793650793000E-01 -4.4365079365079000E-01 -1.4465079365079000E+00  8.8817841970012000E-16
201708 -2.2178571428571000E-01 -2.2178571428571000E-01  7.7857142857143000E-01  7.7821428571428000E-01 -2.2321428571428000E-01  9.4368957093138000E-16
201709 -3.3325396825396000E-01 -3.3396825396825000E-01 -3.3289682539682000E-01 -3.3289682539682000E-01  6.6746031746031000E-01  1.7763568394002000E-15
201710  5.5503968253968000E-01  5.5575396825396000E-01 -4.4567460317460000E-01 -4.4531746031746000E-01 -4.4424603174603000E-01  8.8817841970012000E-16
201711  1.1043650793650000E-01  1.1222222222222000E-01  1.1115079365079000E-01  1.1115079365079000E+00  1.1079365079365000E-01  1.7208456881689000E-15
201712 -1.4469047619047000E+00 -4.4404761904761000E-01 -4.4404761904761000E-01 -4.4476190476190000E-01  5.5809523809523000E-01  8.8817841970012000E-16
201801 -2.2146825396825000E-01  7.7853174603174000E-01  7.7781746031746000E-01 -2.2325396825396000E-01 -2.2218253968254000E-01 -5.5511151231257000E-17
201802 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
201803 -2.8793650793650000E-01 -4.2900793650793000E-01 -4.2686507936507000E-01  5.7099206349206000E-01  5.7170634920635000E-01  8.8817841970012000E-16
201804  1.9650793650793000E-01 -3.7992063492063000E-01 -3.8027777777777000E-01 -3.7563492063492000E-01 -3.7956349206349000E-01  1.8318679906315000E-15
201805 -7.5547619047619000E-01 -1.1827976190476000E+00  1.0700595238095000E+00  4.6791666666666000E-01 -1.8386904761904000E-01  8.8817841970012000E-16
201806 -9.6031746031742000E-03 -2.9603174603174000E-01 -2.8031746031746000E-01 -2.6746031746031000E-01  7.0396825396825000E-01  1.7763568394002000E-15
201807  7.7785714285714000E-01  7.7714285714285000E-01 -2.2428571428571000E-01 -2.2142857142857000E-01 -2.2428571428571000E-01  7.7715611723761000E-16
201808 -2.2178571428571000E-01 -2.2178571428571000E-01 -2.2142857142857000E-01  7.7821428571428000E-01  7.7678571428571000E-01  8.8817841970012000E-16
