date   REG1_contr  REG2_contr  lpyear
200609 -2.4861607142857000E-01  7.5049107142857000E-01  1.7763568394002000E-15
200610 -5.0254464285714000E-01 -5.0058035714285000E-01  8.8817841970012000E-16
200611  9.9968750000000000E-01 -1.0015625000000000E+00  1.7763568394002000E-15
200612 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
200701  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
200702 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
200703  3.5531250000000000E-01  6.4156250000000000E-01  8.8817841970012000E-16
200704 -1.5558928571428000E+00 -4.2660714285714000E-01  1.5543122344752000E-15
200705 -7.0064732142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
200706  2.8964285714285000E-01  7.9035714285714000E-01  1.7763568394002000E-15
200707  1.2272321428571000E-01 -1.3720982142857000E+00  8.8817841970012000E-16
200708  7.5116071428571000E-01 -2.4991071428571000E-01  7.7715611723761000E-16
200709 -1.8736160714285000E+00  6.2549107142857000E-01  1.7763568394002000E-15
200710  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
200711  1.6246875000000000E+00  1.2343750000000000E-01  1.8318679906315000E-15
200712 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
200801  7.5013392857143000E-01 -2.5075892857142000E-01 -1.1102230246251000E-16
200802  8.4763392857143000E-01 -3.0401785714285000E-02  7.5785714285714000E-01
200803 -2.8946875000000000E+00  3.9156250000000000E-01  8.8817841970012000E-16
200804  1.6941071428571000E+00 -1.7660714285714000E-01  1.8873791418627000E-15
200805 -7.5647321428571000E-02  9.1533482142857000E-01  8.8817841970012000E-16
200806 -3.3535714285714000E-01 -3.3464285714285000E-01  1.8873791418627000E-15
200807  7.4772321428571000E-01 -2.4709821428571000E-01  8.8817841970012000E-16
200808 -1.8738392857142000E+00  6.2508928571428000E-01  8.8817841970012000E-16
200809  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200810  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
200811 -1.6253125000000000E+00 -1.2656250000000000E-01  1.9984014443252000E-15
200812  7.4968750000000000E-01 -2.5156250000000000E-01  8.8817841970012000E-16
200901 -2.4986607142857000E-01  7.4924107142857000E-01  0.0000000000000000E+00
200902 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
200903 -2.6968749999999000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
200904  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
200905 -1.7006473214285000E+00  7.9033482142857000E-01  8.8817841970012000E-16
200906 -3.3535714285714000E-01 -3.3464285714285000E-01  1.7763568394002000E-15
200907  7.4772321428571000E-01 -2.4709821428571000E-01  9.9920072216264000E-16
200908 -8.7383928571428000E-01 -3.7491071428571000E-01  8.8817841970012000E-16
200909  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200910  1.2245535714285000E-01  6.2441964285714000E-01  8.8817841970012000E-16
200911 -3.1249999999905000E-04 -1.5624999999999000E-03  1.8873791418627000E-15
200912  7.4968750000000000E-01 -2.5156250000000000E-01  9.9920072216264000E-16
201001 -1.8748660714285000E+00  6.2424107142857000E-01 -1.1102230246251000E-16
201002 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201003  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
201004  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
201005 -1.3256473214285000E+00 -1.3346651785714000E+00  8.8817841970012000E-16
201006  1.2896428571428000E+00 -2.0964285714285000E-01  1.7763568394002000E-15
201007 -2.5227678571428000E-01  7.5290178571428000E-01  9.9920072216264000E-16
201008  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
201009  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
201010 -1.5025446428571000E+00  4.9941964285714000E-01  8.8817841970012000E-16
201011 -3.1249999999898000E-04 -1.5624999999999000E-03  1.7763568394002000E-15
201012  1.7496875000000000E+00 -1.2515625000000000E+00  8.8817841970012000E-16
201101 -8.7486607142857000E-01 -3.7575892857142000E-01  0.0000000000000000E+00
201102 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201103  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
201104 -9.3089285714285000E-01  6.9839285714285000E-01  1.7763568394002000E-15
201105  4.1743526785714000E+00  1.6533482142857000E-01  1.1102230246251000E-15
201106 -1.9603571428571000E+00 -4.5964285714285000E-01  1.7763568394002000E-15
201107 -1.8772767857142000E+00  6.2790178571428000E-01  8.8817841970012000E-16
201108  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
201109  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
201110 -1.5025446428571000E+00  4.9941964285714000E-01  8.8817841970012000E-16
201111 -3.1249999999896000E-04 -1.5624999999998000E-03  1.6098233857064000E-15
201112  1.3746875000000000E+00  8.7343750000000000E-01  8.8817841970012000E-16
201201  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
201202  8.4763392857143000E-01 -3.0401785714285000E-02  7.5785714285714000E-01
201203  3.5531250000000000E-01  6.4156250000000000E-01  8.8817841970012000E-16
201204 -1.5558928571428000E+00 -4.2660714285714000E-01  1.5543122344752000E-15
201205 -7.0064732142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
201206  2.8964285714285000E-01  7.9035714285714000E-01  1.7763568394002000E-15
201207  1.2272321428571000E-01 -1.3720982142857000E+00  8.8817841970012000E-16
201208  7.5116071428571000E-01 -2.4991071428571000E-01  7.7715611723761000E-16
201209 -1.8736160714285000E+00  6.2549107142857000E-01  1.7763568394002000E-15
201210  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
201211  1.6246875000000000E+00  1.2343750000000000E-01  1.8318679906315000E-15
201212 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
201301  7.5013392857143000E-01 -2.5075892857142000E-01 -1.1102230246251000E-16
201302 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201303 -1.2696875000000000E+00  5.1656250000000000E-01  8.8817841970012000E-16
201304  6.9107142857144000E-02 -3.0160714285714000E-01  1.8873791418627000E-15
201305 -7.0064732142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
201306 -1.3353571428571000E+00  6.6535714285714000E-01  1.7763568394002000E-15
201307  2.3727232142857000E+00 -1.2209821428571000E-01  8.8817841970012000E-16
201308 -2.4883928571428000E-01  7.5008928571428000E-01  9.9920072216264000E-16
201309 -8.7361607142857000E-01 -3.7450892857142000E-01  1.7763568394002000E-15
201310  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
201311 -1.0003125000000000E+00  9.9843750000000000E-01  1.7763568394002000E-15
201312 -8.7531250000000000E-01 -3.7656250000000000E-01  9.4368957093138000E-16
201401  7.5013392857143000E-01 -2.5075892857142000E-01 -5.5511151231257000E-17
201402 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201403 -1.2696875000000000E+00  5.1656250000000000E-01  8.8817841970012000E-16
201404  6.9107142857144000E-02 -3.0160714285714000E-01  1.7763568394002000E-15
201405 -7.5647321428571000E-02  9.1533482142857000E-01  1.1102230246251000E-15
201406 -1.9603571428571000E+00 -4.5964285714285000E-01  1.5543122344752000E-15
201407  7.4772321428571000E-01 -2.4709821428571000E-01  8.8817841970012000E-16
201408 -1.8738392857142000E+00  6.2508928571428000E-01  8.8817841970012000E-16
201409  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
201410  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
201411 -1.6253125000000000E+00 -1.2656250000000000E-01  1.9984014443252000E-15
201412  7.4968750000000000E-01 -2.5156250000000000E-01  8.8817841970012000E-16
201501 -2.4986607142857000E-01  7.4924107142857000E-01  0.0000000000000000E+00
201502 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201503 -2.6968749999999000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
201504  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
201505 -3.3256473214285000E+00  6.6533482142857000E-01  1.1102230246251000E-15
201506  1.2896428571428000E+00 -2.0964285714285000E-01  1.9984014443252000E-15
201507  7.4772321428571000E-01 -2.4709821428571000E-01  9.9920072216264000E-16
201508 -8.7383928571428000E-01 -3.7491071428571000E-01  8.8817841970012000E-16
201509  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
201510  1.2245535714285000E-01  6.2441964285714000E-01  8.8817841970012000E-16
201511 -3.1249999999905000E-04 -1.5624999999999000E-03  1.8873791418627000E-15
201512  7.4968750000000000E-01 -2.5156250000000000E-01  9.9920072216264000E-16
201601 -1.8748660714285000E+00  6.2424107142857000E-01 -1.1102230246251000E-16
201602  8.4763392857143000E-01 -3.0401785714285000E-02  7.5785714285714000E-01
201603 -2.6968749999999000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
201604  6.9410714285714000E-01  8.2339285714285000E-01  1.8873791418627000E-15
201605  9.2435267857143000E-01 -8.4665178571428000E-02  6.6613381477509000E-16
201606  1.2896428571428000E+00 -2.0964285714285000E-01  1.7763568394002000E-15
201607 -1.8772767857142000E+00  6.2790178571428000E-01  8.8817841970012000E-16
201608  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
201609  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
201610 -1.5025446428571000E+00  4.9941964285714000E-01  8.8817841970012000E-16
201611 -3.1249999999896000E-04 -1.5624999999998000E-03  1.6098233857064000E-15
201612  1.3746875000000000E+00  8.7343750000000000E-01  8.8817841970012000E-16
201701  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
201702 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201703  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
201704 -2.5558928571428000E+00  5.7339285714285000E-01  1.5543122344752000E-15
201705  9.2435267857143000E-01 -8.4665178571428000E-02  8.8817841970012000E-16
201706 -3.3535714285714000E-01 -3.3464285714285000E-01  1.9984014443252000E-15
201707 -1.8772767857142000E+00  6.2790178571428000E-01  8.8817841970012000E-16
201708  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
201709 -2.4861607142857000E-01  7.5049107142857000E-01  1.7763568394002000E-15
201710 -5.0254464285714000E-01 -5.0058035714285000E-01  8.8817841970012000E-16
201711  9.9968750000000000E-01 -1.0015625000000000E+00  1.7763568394002000E-15
201712 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
201801  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
201802 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201803  3.5531250000000000E-01  6.4156250000000000E-01  8.8817841970012000E-16
201804 -1.5558928571428000E+00 -4.2660714285714000E-01  1.5543122344752000E-15
201805 -7.0064732142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
201806  2.8964285714285000E-01  7.9035714285714000E-01  1.7763568394002000E-15
201807  1.2272321428571000E-01 -1.3720982142857000E+00  8.8817841970012000E-16
201808  7.5116071428571000E-01 -2.4991071428571000E-01  7.7715611723761000E-16
201809 -1.8736160714285000E+00  6.2549107142857000E-01  1.7763568394002000E-15
201810  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
201811  1.6246875000000000E+00  1.2343750000000000E-01  1.8318679906315000E-15
201812 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
201901  7.5013392857143000E-01 -2.5075892857142000E-01 -1.1102230246251000E-16
201902 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
201903 -1.2696875000000000E+00  5.1656250000000000E-01  8.8817841970012000E-16
201904  6.9107142857144000E-02 -3.0160714285714000E-01  1.8873791418627000E-15
201905  9.2435267857143000E-01 -8.4665178571428000E-02  1.1102230246251000E-15
201906 -2.9603571428571000E+00  5.4035714285714000E-01  1.9984014443252000E-15
