date   REG1_contr  lpyear
200806 -1.4944444444444000E-01  1.8318679906315000E-15
200807  8.8500000000000000E-01  8.8817841970012000E-16
200808 -2.2211111111111000E+00  8.8817841970012000E-16
200809  8.9000000000000000E-01  1.7763568394002000E-15
200810  1.3311111111111000E+00  8.8817841970012000E-16
200811 -1.5550000000000000E+00  1.9984014443252000E-15
200812  8.8944444444444000E-01  7.7715611723761000E-16
200901 -6.6611111111111000E-01  0.0000000000000000E+00
200902 -1.3547619047619000E-01 -2.4214285714285000E-01
200903 -1.1111111111098000E-03  8.8817841970012000E-16
200904  2.3666666666666000E-01  1.7208456881689000E-15
200905 -2.1397222222222000E+00  8.8817841970012000E-16
200906 -1.4944444444444000E-01  1.7763568394002000E-15
200907  8.8500000000000000E-01  9.9920072216264000E-16
200908 -6.6555555555555000E-01  8.8817841970012000E-16
200909  8.9000000000000000E-01  1.7763568394002000E-15
200910 -2.2444444444444000E-01  8.8817841970012000E-16
200911  5.5555555555648000E-04  1.8318679906315000E-15
200912  8.8944444444444000E-01  8.8817841970012000E-16
201001 -2.2216666666666000E+00  0.0000000000000000E+00
201002 -1.3547619047619000E-01 -2.4214285714285000E-01
201003  1.5544444444444000E+00  8.8817841970012000E-16
201004  2.3666666666666000E-01  1.7208456881689000E-15
201005 -5.8416666666666000E-01  8.3266726846886000E-16
201006  1.4061111111111000E+00  1.7763568394002000E-15
201007 -6.7055555555555000E-01  9.9920072216264000E-16
201008  8.9000000000000000E-01  8.8817841970012000E-16
201009  8.9000000000000000E-01  1.7763568394002000E-15
201010 -1.7800000000000000E+00  8.8817841970012000E-16
201011  5.5555555555648000E-04  1.8318679906315000E-15
201012  2.4450000000000000E+00  8.8817841970012000E-16
201101 -6.6611111111111000E-01  0.0000000000000000E+00
201102 -1.3547619047619000E-01 -2.4214285714285000E-01
201103  1.5544444444444000E+00  8.8817841970012000E-16
201104 -1.3188888888888000E+00  1.8873791418627000E-15
201105  4.0825000000000000E+00  8.8817841970012000E-16
